draws,lp__,overall_mean,yearly_trend,mu_jump,sigma_jump,p_jump,day_coef_raw.1,day_coef_raw.2,day_coef_raw.3,day_coef_raw.4,day_coef_raw.5,day_coef_raw.6,hour_coef_raw.1,hour_coef_raw.2,hour_coef_raw.3,hour_coef_raw.4,hour_coef_raw.5,hour_coef_raw.6,hour_coef_raw.7,hour_coef_raw.8,hour_coef_raw.9,hour_coef_raw.10,hour_coef_raw.11,hour_coef_raw.12,hour_coef_raw.13,hour_coef_raw.14,hour_coef_raw.15,hour_coef_raw.16,hour_coef_raw.17,hour_coef_raw.18,hour_coef_raw.19,hour_coef_raw.20,hour_coef_raw.21,hour_coef_raw.22,hour_coef_raw.23,pi.1,theta.1,sigma.1,pi.2,theta.2,sigma.2,A.1.1,A.1.2,A.2.1,A.2.2,fourier_coef.1.1,fourier_coef.1.2,fourier_coef.1.3,fourier_coef.2.1,fourier_coef.2.2,fourier_coef.2.3
0,-48428.2718014691,56.994586162328034,-19.962246256601933,1.4266707320887626,49.77582329007092,0.0035253072380655426,-0.276650697592288,0.22098013087832233,0.5105588095224116,0.5992091968226129,-0.7921974646351982,-0.8387731020347197,-1.3064987627700584,-3.078948827211592,-3.703066008937236,-2.226607796081065,2.1700009887274017,5.852319574741145,8.10515518060309,9.120869490882335,7.948056551382767,6.0991194479449105,4.746931019746304,2.928392225586799,1.5994977142665587,1.9407400077250812,5.745028709143229,12.313105304155158,17.924536260403226,17.074566399906338,13.732038672318376,9.645252844762018,5.560763998777217,3.9407892878078523,0.9729587132951311,0.9918931110690964,0.032519600021271855,2.5659690878821935,0.00810688893090361,0.4722566858989362,8.184266754312905,0.8641567724969703,0.13584322750302968,0.2738889250746684,0.7261110749253317,1.7250408913828466,0.024703582648665734,-0.10796049897053937,4.944347589034086,-1.2083425971853685,-0.6760847168325104
1,-48424.22459235205,56.98771592258989,-19.605351566235353,0.39566379235675797,48.20487967152927,0.0036537708854455313,0.09948823706484582,-0.05256442273904439,-0.0669167955911144,0.31191268470841715,-0.5248751594762716,-1.3325882075949225,-1.4999528658994359,-3.4724017916662824,-4.098831734311177,-2.4942532530373454,1.7206241269122209,5.6666486804548395,8.171628051204202,9.129917504247684,8.063082600160516,6.457183797551775,5.014271422705601,3.1370390348532906,1.6503815448851034,1.853749999290781,5.617349984614517,12.308551828994002,17.6998491408272,16.525341944974716,13.330938121189872,9.304540792407474,5.131529964273844,3.849849272135783,0.9547540065776505,0.9876196146719037,0.04217118942950012,2.5945266414815875,0.012380385328096266,0.4246203552992838,7.957016324369436,0.8860489983462814,0.11395100165371863,0.2401551093873103,0.7598448906126897,2.297611712341041,0.6537564847037943,0.30377348936049675,5.720812351845024,-1.188133161793924,-0.8350517975914971
2,-48430.83769510459,57.20900210836111,-20.225232674908586,-0.2890177857327314,46.218587090868006,0.0027535548093036684,-0.1752263692119145,0.31019238056084786,0.4319530554846379,-0.08673079146864739,-1.1503499780592465,-1.4101020144875178,-1.2786814913963962,-3.0124264742032905,-3.67173118490506,-2.196618529252068,2.1500772028631294,6.232043226533875,8.603486451881553,9.760636134864306,8.575629547882048,6.59754668960489,5.188296849963667,3.330832694305278,2.0532096077788164,2.1323549848026366,5.883224748372459,12.3604291289076,17.76360930878395,16.985771078004845,13.947517444967382,9.683480206136165,5.5245139077050505,4.095479472196444,0.9747204806466367,0.9866951090069347,0.0413577754854985,2.5578022359637407,0.01330489099306531,0.41274480965211974,7.959769802708267,0.8709689339806824,0.12903106601931758,0.2632279980073576,0.7367720019926425,2.429606311766631,0.5814457167880089,1.5380418310982593,4.666573451024116,-0.7229083281745942,-0.9582649421156646
3,-48428.76789124327,57.94129368981922,-20.197768253829743,1.1206416140989743,47.32832110352007,0.003610625805949478,-0.05263906755062519,0.45580635128183405,0.4185835270670026,0.16713725075557834,-0.7604860899821854,-1.0031110874753288,-1.43706079086342,-3.2860094556552326,-4.008505695699138,-2.5475681904098604,1.6772828920370249,5.414073130858389,7.596862297942626,8.554099015431328,7.546702119745166,5.956413297055667,4.638971703136122,2.8172693554310317,1.2764877954371299,1.63956348757251,5.45710559185433,12.007660927726233,17.584590564389107,16.583854400232994,13.37600753179365,9.690348944619071,5.504479720741574,3.8501810259766325,0.9910414344739992,0.9956951861303187,0.031006671790248293,2.4373842310027922,0.00430481386968129,0.4113050638009626,7.725232629544685,0.860506322695232,0.13949367730476803,0.26294644859232125,0.7370535514076788,2.4701945781706387,0.7570081136177916,1.4347962916136865,5.431344304615279,-1.2737844767207394,-0.74522072471344
4,-48421.08951361387,57.510757302162425,-20.013740654264282,0.9464456692071178,48.53040557768394,0.003914429108622316,-0.05020248610987891,0.2922012830232677,0.11065437385175061,0.2533345420616802,-0.29920010235032,-1.3529178303296234,-1.2039346737407552,-3.1498930570410186,-3.6925062544099534,-2.206763054083305,2.210107007670427,6.044491694943473,8.382237176173948,9.436876856953022,8.25060829935415,6.265632625063116,5.057016797090482,3.2676748978115264,1.8284773904230633,2.009457199960553,5.912387318659208,12.23348011593028,17.982863293527398,16.78543387445697,13.634816266037822,9.72828110261745,5.515861865377354,4.117151603008995,0.9795586324922347,0.992631876863313,0.031004636097509055,2.5169898359669043,0.007368123136686999,0.44059303254171955,8.052598987709953,0.8729050666851144,0.12709493331488564,0.26087621539327205,0.739123784606728,2.3732795564802966,0.5141452207399432,0.6254826332800489,4.744850764931362,-1.0761147725534175,-0.7399535102015453
5,-48419.64212564323,57.05497647846162,-19.675407654517173,0.7873310326325591,46.62592828983862,0.002871565488559987,0.1991351795474044,0.4209244558623714,0.343034404099942,0.5503922497122002,-0.48139219296099023,-1.138991837683986,-1.1822652138427228,-3.003681068302244,-3.6595430655468446,-2.2027465743707224,2.0731370533075744,5.663278565144766,7.97929852215549,9.008647422366568,8.146115827564486,6.308296123945971,4.819173154234751,3.0206026706753097,1.7322285842751122,2.0646632066026434,5.680117126127777,12.156518550643653,17.669967241680144,16.610897035099256,13.35581676770814,9.458904783825188,5.5136147743324715,4.172355712842018,1.1158384465423292,0.9888861742875127,0.03509471482424451,2.4986489328673454,0.011113825712487313,0.42510696110903096,7.983321667138319,0.8611079763617809,0.13889202363821906,0.27359468957500005,0.7264053104249999,2.693992471412534,0.05279490787754314,1.4082023238653751,5.0797858446396384,-0.9450339606067475,-0.06432681637103058
6,-48430.91167375137,56.015209170789326,-18.991620108220975,-0.39647204324947966,45.46590889063326,0.0038360876716748552,0.17699454778699567,0.35042812127517764,0.7654518716280774,0.7498870528754434,-0.4061426789097994,-1.0823958895852903,-1.4371330305932388,-3.3224916291011026,-3.973130200751836,-2.285840319585027,2.0021234988850583,5.5571321098667985,7.83098852048582,9.022773348549327,7.908836480305871,5.97500352349583,4.590847700447623,2.8750235306182454,1.1343308217655237,1.3856691083761594,5.0604533100448155,11.545298698352672,17.39520166558118,16.571635370732288,13.633933641707841,9.596882607072926,5.378668810801786,3.9831850617792406,0.9215180373269987,0.9795831841490037,0.038379950175329185,2.5881533073954617,0.020416815850996306,0.4350198614234097,7.994263032656212,0.8801759432182575,0.11982405678174246,0.2626291922677794,0.7373708077322205,2.4608981592709407,0.5525881104248198,1.4456074290737244,5.367121639801741,-0.24272636464013592,-0.38604338996832593
7,-48438.198007417646,56.081921257096745,-18.886368961428275,-1.0148362399153448,45.235632697463075,0.001981747141528351,-0.011683555927301414,0.7094068261610396,0.38929248271739064,0.38068262503650024,-0.35540996875965786,-0.9193903837026252,-1.2663632314453759,-3.1207067266950266,-3.901056472120237,-2.107048601379742,2.1968108619419486,5.908744062203819,8.467491550979435,9.868895087934323,8.36493550707023,6.38775518528742,4.891578810258287,3.071592096925178,1.5395876822615646,1.8608468623264551,5.618897248735468,12.153944554900985,17.77538023219538,16.807853351401572,13.605693213247584,9.400876132348085,5.418143198458521,4.015818601675261,1.2673550524312676,0.9789798395052471,0.038063920324510114,2.6520506706822093,0.02102016049475286,0.40764538547758095,8.140911381673252,0.8806561683288023,0.11934383167119766,0.2607968122617053,0.7392031877382947,2.5631968642358536,0.13379813782933714,0.2140238899947119,5.518565104956839,-0.6622434321839321,0.06394391534098406
8,-48426.85755783502,56.5750291865639,-19.570805201533087,-0.25292611794067155,45.432035309757474,0.003473851169183821,-0.5430238532116328,-0.15721294115371892,-0.18394374814391565,-0.14682663705513468,-0.9440250353653938,-0.6415122018713572,-1.2787979132683283,-3.0092153203684884,-3.632951942938652,-2.1858647252723062,2.157504468688505,5.825613470540266,8.159365034090595,9.39420985717674,8.331251340723338,6.528232927139544,5.135147677990387,3.4526519681975443,1.7578438796300655,1.819841424684798,5.569482438542542,11.830548676719674,17.793289286314398,16.795458695466724,13.519759096105737,9.661306406243328,5.436833096707194,4.135722817514583,1.0744930529144068,0.9863939326014741,0.040023427363920755,2.5689732492294843,0.013606067398525878,0.4150126809817297,7.93940725589103,0.8773933700522426,0.1226066299477574,0.2432534686335632,0.7567465313664368,2.127145943569298,0.18787462447686146,0.8151088112134861,5.499299959486608,-0.7751010734957623,-0.21898817571716098
9,-48417.20920219624,55.937309185096545,-18.997820609463275,-0.3377250105705185,45.52727215438067,0.0043385506434511275,0.2845992336431061,0.8423775976274782,0.6333873268649862,0.5143715256085567,-0.26032727922225507,-0.8541188041484653,-1.340412528133797,-3.202424831839061,-3.9329363299168016,-2.4442832061344233,1.9000444207820308,5.764348814088729,8.018139970010557,9.266111278418244,8.169234821604439,6.307143662052325,4.935189896128421,3.0342387155888857,1.539799404399046,1.8292763119086966,5.577688162408696,11.866546117515467,17.5637589020653,16.76655048607296,13.491974030787139,9.339835892276687,5.127363090476256,3.8187670349837854,0.9858229093929953,0.990645243094708,0.03331125224665053,2.5275273607781084,0.009354756905291972,0.42611706520400255,7.861396403447996,0.8765932725229215,0.12340672747707848,0.23857470235336062,0.7614252976466394,1.9776875442142037,0.5674415181859833,0.2588252138347089,5.485445076392374,-1.2908424976202801,-0.9518588901271998
